#Channel       Frequency       Mean        Std     Median      MADFM      1%ile        Min        Max
#                    MHz   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam
     181        1.000000     -0.000      0.000      0.000      0.000      0.000    -27.699     25.399
      52        1.000000     -0.002      0.000      0.000      0.000      0.000    -24.663     20.416
      71        1.000000     -0.010      0.000      0.000      0.000      0.000    -19.543     19.389
     125        1.000000     -0.006      0.000      0.000      0.000      0.000    -22.006     18.913
     234        1.000000     -0.005      0.000      0.000      0.000      0.000    -20.579     18.731
     182        1.000000     -0.005      0.000      0.000      0.000      0.000    -20.777     27.170
      53        1.000000     -0.002      0.000      0.000      0.000      0.000    -20.324     19.027
      72        1.000000     -0.004      0.000      0.000      0.000      0.000    -20.519     21.114
     126        1.000000     -0.001      0.000      0.000      0.000      0.000    -19.482     19.475
     235        1.000000     -0.002      0.000      0.000      0.000      0.000    -20.918     19.306
     183        1.000000     -0.010      0.000      0.000      0.000      0.000    -19.761     20.215
      54        1.000000     -0.003      0.000      0.000      0.000      0.000    -20.905     20.644
      73        1.000000      0.001      0.000      0.000      0.000      0.000    -20.033     20.867
     127        1.000000     -0.002      0.000      0.000      0.000      0.000    -20.082     18.093
     236        1.000000      0.000      0.000      0.000      0.000      0.000    -23.459     21.303
     184        1.000000     -0.013      0.000      0.000      0.000      0.000    -23.418     19.656
      74        1.000000      0.002      0.000      0.000      0.000      0.000    -18.949     17.353
     128        1.000000     -0.001      0.000      0.000      0.000      0.000    -18.288     22.432
     185        1.000000     -0.009      0.000      0.000      0.000      0.000    -23.703     20.595
     237        1.000000     -0.006      0.000      0.000      0.000      0.000    -21.568     20.491
      75        1.000000     -0.004      0.000      0.000      0.000      0.000    -21.021     23.451
     129        1.000000      0.001      0.000      0.000      0.000      0.000    -19.286     19.644
     186        1.000000     -0.004      0.000      0.000      0.000      0.000    -19.117     19.736
     238        1.000000      0.003      0.000      0.000      0.000      0.000    -18.873     18.350
      76        1.000000     -0.002      0.000      0.000      0.000      0.000    -20.932     21.768
     130        1.000000     -0.007      0.000      0.000      0.000      0.000    -22.108     19.150
     187        1.000000     -0.004      0.000      0.000      0.000      0.000    -22.805     19.934
