#Channel       Frequency       Mean        Std     Median      MADFM      1%ile        Min        Max
#                    MHz   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam
     244        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.519     22.065
      56        1.000000      0.000      0.000      0.000      0.000      0.000    -24.186     19.909
     245        1.000000     -0.008      0.000      0.000      0.000      0.000    -18.995     19.642
      57        1.000000     -0.007      0.000      0.000      0.000      0.000    -18.760     24.559
     246        1.000000     -0.004      0.000      0.000      0.000      0.000    -29.481     21.620
      58        1.000000      0.003      0.000      0.000      0.000      0.000    -20.788     18.575
       1        1.000000     -0.001      0.000      0.000      0.000      0.000    -22.369     22.544
     163        1.000000      0.011      0.000      0.000      0.000      0.000    -22.491     23.853
     247        1.000000     -0.003      0.000      0.000      0.000      0.000    -18.402     26.752
      59        1.000000      0.005      0.000      0.000      0.000      0.000    -23.322     18.355
     164        1.000000      0.013      0.000      0.000      0.000      0.000    -20.964     24.851
       2        1.000000      0.001      0.000      0.000      0.000      0.000    -23.654     22.757
     248        1.000000     -0.001      0.000      0.000      0.000      0.000    -20.021     18.833
      60        1.000000     -0.003      0.000      0.000      0.000      0.000    -20.399     19.632
     165        1.000000      0.013      0.000      0.000      0.000      0.000    -18.683     21.408
       3        1.000000      0.012      0.000      0.000      0.000      0.000    -19.068     20.087
     249        1.000000     -0.008      0.000      0.000      0.000      0.000    -24.706     25.720
      61        1.000000     -0.002      0.000      0.000      0.000      0.000    -23.010     18.796
     166        1.000000      0.015      0.000      0.000      0.000      0.000    -18.060     21.978
       4        1.000000      0.004      0.000      0.000      0.000      0.000    -23.760     22.355
     250        1.000000      0.001      0.000      0.000      0.000      0.000    -22.614     23.060
     167        1.000000      0.002      0.000      0.000      0.000      0.000    -22.082     20.614
      62        1.000000     -0.005      0.000      0.000      0.000      0.000    -17.821     19.550
       5        1.000000     -0.002      0.000      0.000      0.000      0.000    -18.296     21.445
     251        1.000000     -0.000      0.000      0.000      0.000      0.000    -20.784     25.246
     168        1.000000      0.005      0.000      0.000      0.000      0.000    -21.298     20.541
       6        1.000000      0.001      0.000      0.000      0.000      0.000    -18.866     19.907
      63        1.000000     -0.007      0.000      0.000      0.000      0.000    -21.412     19.750
     252        1.000000     -0.005      0.000      0.000      0.000      0.000    -21.522     20.236
     169        1.000000     -0.005      0.000      0.000      0.000      0.000    -21.116     19.036
       7        1.000000     -0.001      0.000      0.000      0.000      0.000    -18.656     23.049
      64        1.000000      0.005      0.000      0.000      0.000      0.000    -19.469     19.909
     253        1.000000     -0.004      0.000      0.000      0.000      0.000    -19.846     21.666
     170        1.000000     -0.014      0.000      0.000      0.000      0.000    -20.459     22.529
       8        1.000000     -0.001      0.000      0.000      0.000      0.000    -27.004     20.096
      65        1.000000     -0.002      0.000      0.000      0.000      0.000    -18.485     20.961
     171        1.000000     -0.008      0.000      0.000      0.000      0.000    -23.889     21.374
     254        1.000000      0.000      0.000      0.000      0.000      0.000    -19.462     22.502
       9        1.000000     -0.008      0.000      0.000      0.000      0.000    -18.862     23.724
      66        1.000000     -0.009      0.000      0.000      0.000      0.000    -22.979     18.954
     172        1.000000     -0.001      0.000      0.000      0.000      0.000    -18.629     20.344
      10        1.000000      0.009      0.000      0.000      0.000      0.000    -18.463     19.578
      67        1.000000      0.001      0.000      0.000      0.000      0.000    -24.114     20.983
     255        1.000000     -0.004      0.000      0.000      0.000      0.000    -21.538     19.514
     173        1.000000     -0.004      0.000      0.000      0.000      0.000    -22.026     21.442
      11        1.000000      0.009      0.000      0.000      0.000      0.000    -18.000     22.400
      68        1.000000     -0.007      0.000      0.000      0.000      0.000    -20.948     22.333
     256        1.000000     -0.011      0.000      0.000      0.000      0.000    -21.109     18.441
     174        1.000000     -0.007      0.000      0.000      0.000      0.000    -19.340     20.400
      69        1.000000     -0.003      0.000      0.000      0.000      0.000    -22.526     33.103
      12        1.000000     -0.007      0.000      0.000      0.000      0.000    -20.540     20.689
     257        1.000000      0.001      0.000      0.000      0.000      0.000    -22.571     19.420
     175        1.000000     -0.008      0.000      0.000      0.000      0.000    -26.289     19.357
      70        1.000000     -0.003      0.000      0.000      0.000      0.000    -19.062     23.437
      13        1.000000      0.006      0.000      0.000      0.000      0.000    -20.322     23.484
     258        1.000000     -0.007      0.000      0.000      0.000      0.000    -28.241     18.293
     176        1.000000     -0.000      0.000      0.000      0.000      0.000    -21.189     18.444
      71        1.000000     -0.010      0.000      0.000      0.000      0.000    -19.543     19.389
      14        1.000000     -0.002      0.000      0.000      0.000      0.000    -20.569     19.447
     259        1.000000     -0.010      0.000      0.000      0.000      0.000    -21.213     19.275
     177        1.000000      0.002      0.000      0.000      0.000      0.000    -18.139     18.081
      72        1.000000     -0.004      0.000      0.000      0.000      0.000    -20.519     21.114
      15        1.000000     -0.005      0.000      0.000      0.000      0.000    -20.561     23.507
     178        1.000000      0.003      0.000      0.000      0.000      0.000    -20.587     22.673
     260        1.000000      0.002      0.000      0.000      0.000      0.000    -21.066     18.492
      73        1.000000      0.001      0.000      0.000      0.000      0.000    -20.033     20.867
      16        1.000000      0.001      0.000      0.000      0.000      0.000    -19.921     22.550
     179        1.000000     -0.003      0.000      0.000      0.000      0.000    -27.535     20.079
      74        1.000000      0.002      0.000      0.000      0.000      0.000    -18.949     17.353
     261        1.000000     -0.004      0.000      0.000      0.000      0.000    -26.742     21.870
      17        1.000000     -0.001      0.000      0.000      0.000      0.000    -22.177     19.207
     180        1.000000     -0.011      0.000      0.000      0.000      0.000    -20.041     22.348
      75        1.000000     -0.004      0.000      0.000      0.000      0.000    -21.021     23.451
      18        1.000000     -0.000      0.000      0.000      0.000      0.000    -18.900     19.903
     262        1.000000     -0.006      0.000      0.000      0.000      0.000    -18.291     18.674
     181        1.000000     -0.000      0.000      0.000      0.000      0.000    -27.699     25.399
      76        1.000000     -0.002      0.000      0.000      0.000      0.000    -20.932     21.768
      19        1.000000     -0.005      0.000      0.000      0.000      0.000    -18.379     23.171
     263        1.000000     -0.003      0.000      0.000      0.000      0.000    -22.126     20.977
     182        1.000000     -0.005      0.000      0.000      0.000      0.000    -20.777     27.170
      77        1.000000      0.000      0.000      0.000      0.000      0.000    -20.701     25.067
      20        1.000000      0.001      0.000      0.000      0.000      0.000    -19.720     19.335
     264        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
     183        1.000000     -0.010      0.000      0.000      0.000      0.000    -19.761     20.215
      78        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.396     21.113
      21        1.000000     -0.008      0.000      0.000      0.000      0.000    -20.405     19.152
     265        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
     184        1.000000     -0.013      0.000      0.000      0.000      0.000    -23.418     19.656
      79        1.000000     -0.004      0.000      0.000      0.000      0.000    -24.590     23.715
      22        1.000000     -0.008      0.000      0.000      0.000      0.000    -20.200     20.263
     266        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
     185        1.000000     -0.009      0.000      0.000      0.000      0.000    -23.703     20.595
      80        1.000000     -0.011      0.000      0.000      0.000      0.000    -20.733     22.162
      23        1.000000      0.003      0.000      0.000      0.000      0.000    -20.300     20.256
     186        1.000000     -0.004      0.000      0.000      0.000      0.000    -19.117     19.736
     267        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
      81        1.000000     -0.000      0.000      0.000      0.000      0.000    -20.705     24.722
      24        1.000000     -0.007      0.000      0.000      0.000      0.000    -21.374     24.427
     187        1.000000     -0.004      0.000      0.000      0.000      0.000    -22.805     19.934
     268        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
      82        1.000000      0.005      0.000      0.000      0.000      0.000    -19.994     18.932
      25        1.000000     -0.005      0.000      0.000      0.000      0.000    -18.624     25.343
     188        1.000000     -0.010      0.000      0.000      0.000      0.000    -21.638     22.873
      83        1.000000     -0.000      0.000      0.000      0.000      0.000    -20.459     20.705
     269        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
      26        1.000000      0.002      0.000      0.000      0.000      0.000    -20.741     23.193
     189        1.000000     -0.003      0.000      0.000      0.000      0.000    -18.272     24.943
      84        1.000000     -0.004      0.000      0.000      0.000      0.000    -23.343     20.837
     270        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
      27        1.000000     -0.000      0.000      0.000      0.000      0.000    -18.836     19.809
     190        1.000000     -0.011      0.000      0.000      0.000      0.000    -22.313     20.380
      85        1.000000     -0.009      0.000      0.000      0.000      0.000    -20.036     18.040
      28        1.000000     -0.005      0.000      0.000      0.000      0.000    -21.146     22.751
     191        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.222     27.179
      86        1.000000      0.004      0.000      0.000      0.000      0.000    -19.064     22.725
      29        1.000000      0.002      0.000      0.000      0.000      0.000    -19.089     18.976
     192        1.000000     -0.008      0.000      0.000      0.000      0.000    -19.194     20.869
      87        1.000000     -0.001      0.000      0.000      0.000      0.000    -20.260     21.719
      30        1.000000     -0.001      0.000      0.000      0.000      0.000    -23.569     21.183
     193        1.000000     -0.002      0.000      0.000      0.000      0.000    -24.061     23.263
      88        1.000000     -0.003      0.000      0.000      0.000      0.000    -21.637     20.774
      31        1.000000      0.002      0.000      0.000      0.000      0.000    -20.934     19.795
     194        1.000000     -0.012      0.000      0.000      0.000      0.000    -20.140     19.545
      89        1.000000     -0.001      0.000      0.000      0.000      0.000    -22.510     21.615
      32        1.000000      0.002      0.000      0.000      0.000      0.000    -21.082     24.465
     195        1.000000     -0.005      0.000      0.000      0.000      0.000    -20.073     21.642
      90        1.000000     -0.000      0.000      0.000      0.000      0.000    -22.269     18.615
      33        1.000000     -0.005      0.000      0.000      0.000      0.000    -22.884     26.424
     196        1.000000     -0.008      0.000      0.000      0.000      0.000    -21.528     22.560
      91        1.000000      0.003      0.000      0.000      0.000      0.000    -20.334     19.862
      34        1.000000     -0.002      0.000      0.000      0.000      0.000    -23.706     23.053
     197        1.000000     -0.003      0.000      0.000      0.000      0.000    -20.374     20.562
      92        1.000000     -0.002      0.000      0.000      0.000      0.000    -18.801     18.609
      35        1.000000     -0.005      0.000      0.000      0.000      0.000    -21.419     20.559
     198        1.000000     -0.006      0.000      0.000      0.000      0.000    -19.941     20.143
      93        1.000000     -0.006      0.000      0.000      0.000      0.000    -23.816     22.329
      36        1.000000     -0.004      0.000      0.000      0.000      0.000    -19.513     26.425
     199        1.000000     -0.004      0.000      0.000      0.000      0.000    -24.020     25.575
      94        1.000000     -0.001      0.000      0.000      0.000      0.000    -19.774     21.799
      37        1.000000     -0.006      0.000      0.000      0.000      0.000    -18.387     25.222
     200        1.000000     -0.011      0.000      0.000      0.000      0.000    -18.656     19.287
      95        1.000000     -0.005      0.000      0.000      0.000      0.000    -22.389     19.663
      38        1.000000     -0.008      0.000      0.000      0.000      0.000    -20.341     20.298
      96        1.000000     -0.004      0.000      0.000      0.000      0.000    -19.796     22.903
     201        1.000000     -0.011      0.000      0.000      0.000      0.000    -29.056     20.562
      39        1.000000     -0.002      0.000      0.000      0.000      0.000    -18.750     18.861
      97        1.000000     -0.005      0.000      0.000      0.000      0.000    -20.570     19.814
     202        1.000000     -0.004      0.000      0.000      0.000      0.000    -17.667     20.798
      40        1.000000     -0.004      0.000      0.000      0.000      0.000    -19.303     20.675
      98        1.000000     -0.002      0.000      0.000      0.000      0.000    -19.331     22.910
     203        1.000000     -0.009      0.000      0.000      0.000      0.000    -18.253     19.960
      99        1.000000     -0.003      0.000      0.000      0.000      0.000    -20.476     19.780
      41        1.000000      0.004      0.000      0.000      0.000      0.000    -19.131     23.414
     204        1.000000      0.006      0.000      0.000      0.000      0.000    -23.996     21.507
     100        1.000000     -0.008      0.000      0.000      0.000      0.000    -19.434     25.931
      42        1.000000     -0.002      0.000      0.000      0.000      0.000    -20.883     20.494
     205        1.000000     -0.012      0.000      0.000      0.000      0.000    -19.206     19.202
     101        1.000000     -0.007      0.000      0.000      0.000      0.000    -18.769     18.515
      43        1.000000      0.005      0.000      0.000      0.000      0.000    -28.492     20.863
     206        1.000000     -0.006      0.000      0.000      0.000      0.000    -21.588     21.962
     102        1.000000     -0.005      0.000      0.000      0.000      0.000    -21.534     20.709
      44        1.000000     -0.006      0.000      0.000      0.000      0.000    -21.185     24.804
     207        1.000000     -0.005      0.000      0.000      0.000      0.000    -21.324     18.636
     103        1.000000     -0.004      0.000      0.000      0.000      0.000    -20.159     22.035
      45        1.000000     -0.003      0.000      0.000      0.000      0.000    -21.006     24.546
     208        1.000000     -0.006      0.000      0.000      0.000      0.000    -19.814     25.418
     104        1.000000      0.000      0.000      0.000      0.000      0.000    -21.237     24.619
      46        1.000000     -0.017      0.000      0.000      0.000      0.000    -22.336     19.100
     209        1.000000     -0.011      0.000      0.000      0.000      0.000    -20.702     21.912
     105        1.000000     -0.002      0.000      0.000      0.000      0.000    -19.003     20.664
      47        1.000000     -0.001      0.000      0.000      0.000      0.000    -18.015     18.728
     210        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.413     19.394
     106        1.000000     -0.007      0.000      0.000      0.000      0.000    -19.875     21.487
      48        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.801     21.256
     211        1.000000     -0.002      0.000      0.000      0.000      0.000    -19.592     20.342
     107        1.000000      0.003      0.000      0.000      0.000      0.000    -20.486     22.773
      49        1.000000     -0.002      0.000      0.000      0.000      0.000    -21.717     22.654
     212        1.000000     -0.001      0.000      0.000      0.000      0.000    -24.587     18.904
     108        1.000000      0.002      0.000      0.000      0.000      0.000    -27.001     21.513
      50        1.000000     -0.005      0.000      0.000      0.000      0.000    -22.263     23.285
     213        1.000000     -0.001      0.000      0.000      0.000      0.000    -19.700     20.383
     214        1.000000     -0.004      0.000      0.000      0.000      0.000    -20.118     18.991
      51        1.000000     -0.012      0.000      0.000      0.000      0.000    -22.287     22.046
     215        1.000000     -0.001      0.000      0.000      0.000      0.000    -20.542     23.544
      52        1.000000     -0.002      0.000      0.000      0.000      0.000    -24.663     20.416
      53        1.000000     -0.002      0.000      0.000      0.000      0.000    -20.324     19.027
     216        1.000000     -0.008      0.000      0.000      0.000      0.000    -22.920     20.842
      54        1.000000     -0.003      0.000      0.000      0.000      0.000    -20.905     20.644
